관광지,전체내용
조계사,항상 가을에.. : 이맘때 항상 방문합니다.국하축제하고 절자체도 너무이뿌고 접근성도 좋아서올해는 국화분재가있어 아버지가 흥미로워하셨어요매번하지만 위치도바뀌고 전시도 조금씩 바껴서 너무 좋아요 국화빵도팔고 좀 이색적이지만 좋았어요^^
조계사,"서울의 대표 불교 사찰 : 조계사는 대한불교 조계종의 총본산으로 봉은사, 길상사와 함께 서울의 대표 불교 사찰입니다. 그 중요성과는 달리 절의 규모는 작은 편이지만 조계종 측에서 장기적으로 조계사 성역화 사업을 진행하고 있어 점차 절의 규모는 커질 것으로 예상됩니다. 대웅전 내의 아미타여래상, 석가여래상, 약사여래상 앞에 앉아 잠시 명상을 해보시길 권합니다. 대웅전 뒷편의 현대적인 건물 지하엔 불교박물관이 있으니 꼭 방문하시기 바랍니다."
조계사,위치가 좋음 : 종로갔다가 들르기 좋은 곳. 불상이 생각보다 크고 위엄있어서 놀랐다. 다만 그 외에 시설이 많지 않은 작은 절이다. 한번쯤 가볼만한 곳
조계사,"서울에서 방문하기 좋은 절 중 하나, 조계사 : 규모가 매우 큰 절 중 하나입니다. 종로구 중심가에 위치한 절로 부처님 오신 날 혹은 외국인 손님이 왔을 때 방문하기 좋습니다."
조계사,"도심에 있는 절 : 인사동 바로 옆에 있는 조계종 대표 절입니다.. 도심에 한적하게 불교문화를 느낄 수 있는 곳이라, 가면 마음이 편안해 지고 고즈넉해서 좋습니다."
조계사,조계사 : 종로 한가운데에 위치에서 접근성이 가장 좋은 곳이 아닌가 생각된다. 특히 부처님 오신날쯤에는 연등과 꽃이 예쁘게 꾸며져 있어 너무 좋다.
조계사,반드시 들러야 하는 곳은 아니짐나 그래도 들르면 좋을 것 같습니다. : 반드시 들러야 하는 곳은 아니짐나 그래도 들르면 좋을 것 같습니다. 볼 거리 많은 종로에서 조계사에 들르면 참 좋을 것 같단 생각이 듭니다.
청와대,청와대 관람투어 : 6개월 전에 예약하고 주말에가족들과 함께 다녀왔습니다.경복궁은 여러번 갔는데 항상 멀리서 보던 청와대를 들어가보니 상징적인 곳이라경비가 삼엄하긴 하지만 고즈넉하고 좋았습니다.투어중에는 화장실이 없으니청와대관람차에서 내려 보안검색하기전 화장실을들러주는게 좋을 것 같습니다.기념품으로 성인에게는 머그컵아이들에게는 버스카드를 넣을수 있는 목걸이지갑을주었습니다. 산책하는 겸 저는 너무 만족했으나햇빛을 피할곳이 따로 없으니 모자나 생수 이온음료 정도는 챙겨 가세요!
청와대,청와대 : 내부관람을 위해서는 사전예약이 필요합니다.예약을 하지 않았을 경우 외부전경을 보면서 기념촬영하기 좋습니다.
청와대,청와대 : 대한민국 대통령의 집무실과 관저가 있죠!!청와대 앞길이 최근에 개방되서 좀 더 가까워진 느낌이에요!!!
청와대,청와대는 예약제 : 내부로는 예약하지 못해서 들어가지 못했지만 외곽을 따라 돌담길을 걷는건 너무 멋져요. 특히 가을에 낙엽이 질때 더 멋스러워욘
