여행지,주소,행정구역,시군구,분류,트립어드바이저평점
창녕박물관,"창녕읍 창밀로 34, 창녕",경상남도,창녕군,역사박물관,4
관룡사,"창녕읍 옥천리 292, 창녕",경상남도,창녕군,즐길거리 & 랜드마크,4
우포늪,"유어면, 창녕",경상남도,창녕군,자연 & 야생동물 서식지,4.5
고성 공룡박물관,"하이면 자란만로 618, 고성",경상남도,고성군,전문 박물관,4
상족암군립공원,"하이면 덕명5길 42-23, 고성",경상남도,고성군,고대 유적 • 국립공원,4.5
지족리 죽방렴,"삼동면 지족리, 남해",경상남도,남해군,즐길거리 & 랜드마크,X
금산 보리암,"상주면 보리암로 665, 남해",경상남도,남해군,즐길거리 & 랜드마크,4.5
다랭이마을,"남면 남면로679번길 21, 남해",경상남도,남해군,즐길거리 & 랜드마크,4
충렬사,"여황로 251, 통영",경상남도,통영시,역사적인 장소 • 즐길거리 & 랜드마크 • 종교적인 장소,4
"월포, 두곡 해수욕장","북구 청하면 해안로2308번길, 포항",경상남도,포항시,해변,X
쌍계사,"208, Unsu-ri, Hwagae-myeon, 하동",경상남도,하동군,종교적인 장소,4.5
소설  『토지』 촬영장(최 참판 댁),"악양면 평사리길 66-7, 하동, 경상남도",경상남도,하동군,즐길거리 & 랜드마크,4.5
목면시배유지,"단성면 목화로 887, 산청",경상남도,산청시,역사적인 장소 • 즐길거리 & 랜드마크,3.5
대원사와 대원계곡,"삼장면 대원사길, 산청, 경상남도",경상남도,산청시,물길 • 계곡,X
남사 예담촌,"단성면 지리산대로2897번길 10, 산청",경상남도,산청시,인근 지역,4
지리산 국립공원,"하동, 경상남도",경상남도,하동군,국립공원,4
황매산 군립공원,"합천, 경상남도",경상남도,합천군,공원,4.5
수승대,"위천면 황산1길 199, 거창",경상남도,거창군,즐길거리 & 랜드마크 • 공원,4.5
해인사,"가야면 해인사길 122, 합천",경상남도,합천군,역사적인 장소 • 종교적인 장소,4.5
합천 영상테마파크,"용주면 합천호수로 757, 합천",경상남도,합천군,놀이공원 & 테마파크,4.5
가야산 국립공원,경남 합천군 가야면,경상남도,합천군,국립공원,4.5
바람흔적미술관,"삼동면 금암로 519-4, 남해",경상남도,남해군,아트뮤지엄,4
민주공원,"중구 영주동 산 10-16, 부산",부산광역시,중구,공원,4.5
자갈치시장,"중구 남포동, 부산",부산광역시,중구,벼룩시장 & 재래시장,4
보수동 책방골목,"중구 보수동 1가, 부산",부산광역시,중구,특산물 & 기념품 가게,4
