여행지,주소,행정구역,시군구,분류,트립어드바이저평점
삼포 해수욕장,"죽왕면 삼포리 1-1, 고성",강원도,고성군,해변,3.5
낙산해수욕장,"강현면 59, 양양",강원도,양양군,해변,4.5
남애항과 남애해수욕장,"현남면 남애리, 양양",강원도,양양군,즐길거리 & 랜드마크,4.5
오산리 선사유적박물관,"손양면 오산리 51, 양양",강원도,양양군,역사박물관,4
낙산사,"정진1리, 강현면, 양양, 강원도",강원도,양양군,종교적인 장소,4.5
오색 주전골,"서면 오색리, 양양",강원도,양양군,기타 야외 활동,5
하조대,"현북면 하광정리, 양양",강원도,양양군,즐길거리 & 랜드마크,4.5
명주사,강원 원주시 신림면 물안길 62,강원도,양양군,종교시설,X
송천 떡마을,"서면 송천리, 양양",강원도,양양군,즐길거리 & 랜드마크,2.5
청주고인쇄박물관,"흥덕구 직지대로 713, 청주, 충청북도",충청북도,청주시,전문 박물관,4
상당산성,"상당구 산성동 산28-2, 청주",충청북도,청주시,역사적인 장소 • 경관이 좋은 산책로,4.5
중앙탑과 충주박물관,"가금면 중앙탑길 112-28, 충주",충청북도,청주시,전문 박물관,3
청풍 문화재단지,"청풍면 물태리 산6-20, 제천",충청북도,제천시,역사적인 장소,4
상수허브랜드,"남이면 부용외천길 18, 청원",충청북도,청주시,기타 야외 활동,3.5
월악산 국립공원,"한수면 미륵송계로 1647, 제천, 충청북도",충청북도,제천시,국립공원,4.5
법주사,"내속리면 사내리 209, 보은, 충청북도",충청북도,보은군,종교적인 장소,4.5
삼년산성,"San 1-1, Eoam-ri, Boeun-eup, 보은",충청북도,보은군,역사적인 장소,4.5
속리산 국립공원,"Songnisan-myeon, 보은",충청북도,보은군,국립공원,4.5
정지용 문학관과 생가,"옥천읍 향수길 56, 옥천, 충청북도",충청북도,옥천군,역사적인 장소,3.5
음성 큰바위얼굴 조각공원,"생극면 관성리 9-1, 음성, 충청북도",충청북도,음성군,공원,3.5
도담삼봉,"매포읍 삼봉로 644-13, 단양",충청북도,단양군,산,3.5
온달국민관광지,"영춘면 온달로 23, 단양",충청북도,단양군,역사적인 장소 • 즐길거리 & 랜드마크 • 동굴,4
선암계곡,충북 단양군 단성면 가산리,충청북도,단양군,종교적인 장소,4.5
사인암,"대강면 사인암길 24, 단양",충청북도,단양군,역사적인 장소,4.5
충주호 유람선,"단성면 월악로 3811-19, 단양",충청북도,단양군,보트 투어 • 페리,4
한드미마을,"가곡면 한드미길 37, 단양",충청북도,단양군,즐길거리 & 랜드마크,X
구인사,"영춘면 백자리 132-1, 단양",충청북도,단양군,즐길거리 & 랜드마크,4.5
영평사,"장기면 산학리 441번지, 세종시",세종시,장군면,종교적인 장소,4
국립공주박물관,"웅진동 360, 공주, 충청남도, 대한민국",충청남도,공주시,전문 박물관,4.5
석장리박물관,"금벽로 990, 공주",충청남도,공주시,역사박물관,4
동학사,"반포면 동학사1로 462, 공주",충청남도,공주시,역사적인 장소 • 종교적인 장소 • 경관이 좋은 산책로,4
마곡사,"사곡면 운암리 567, 공주",충청남도,공주시,종교적인 장소,4
계룡산 국립공원,"계룡면 공주, 충청남도",충청남도,공주시,국립공원,4.5
갑사,"계룡면 중장리 52, 공주",충청남도,공주시,종교적인 장소,4
대천해수욕장,"신흑동, 보령",충청남도,보령시,해변,4
보령 석탄박물관,"성주면 성주산로 508 , 보령",충청남도,보령시,전문 박물관,4
무창포해수욕장,"웅천읍 열린바다1길 10, 보령",충청남도,보령시,해변,4.5
맹씨행단,"배방읍 행단길 25, 아산",충청남도,아산시,역사적인 장소,4
외암민속마을,"Oeam-ri, Songak-myeon, 아산",충청남도,아산시,인근 지역,4
온양민속박물관,"권곡동 403-1, 아산",충청남도,아산시,전문 박물관,4
현충사,"염치읍 현충사길 126, 아산",충청남도,아산시,역사적인 장소 • 종교적인 장소,4.5
추사 고택,"799-2, Yonggung-ri, Sinam-myeon, 예산",충청남도,예산군,역사적인 장소 • 건축물,5
간월재,"울주군 상북면, 울산",울산광역시,울주군,산림,4.5
개심사,"동구 판암로 128-269, 서산",충청남도,서산시,종교적인 장소,4
해미읍성,"Eumnae-ri, Haemi-myeon, 서산",충청남도,서산시,역사적인 장소,4
금산 인삼축제,"30, Insamgwangjang-ro, Geumsan-eup, 금산",충청남도,금산시,음식 & 음료 축제,4.5
관촉사,"254, Gwanchok-dong, 논산",충청남도,논산시,종교적인 장소,4.5
부소산성,"부여읍 쌍북리, 부여, 충청남도",충청남도,부여군,역사적인 장소,4.5
능산리 고분군,"16-1 능산리, 부여읍, 부여, 충청남도",충청남도,부여군,역사적인 장소,3.5
백제 역사문화관,"규암면 합정리 597, 부여",충청남도,부여군,역사박물관,3.5
국립부여박물관,"부여읍 금성로 5, 부여",충청남도,부여군,전문 박물관,4.5
궁남지,"부여읍 궁남로 52, 부여",충청남도,부여군,역사적인 장소 • 물길 • 공원,4.5
국립해양생물자원관,"장항읍 장산로101번길 75, 서천",충청남도,서천시,과학박물관,4
마량리 동백숲,"서면 서인로235번길 103, 서천",충청남도,서천시,유서 깊은 산책로 • 경관이 좋은 산책로,3
춘장대해수욕장,"서면 도둔리 400, 서천, 충청남도, 대한민국",충청남도,서천시,해변,4
신성리 갈대밭,"한산면 신성리 125-1, 서천",충청남도,서천시,자연 & 야생동물 서식지 • 경관이 좋은 산책로,4
고운식물원,"청양읍 식물원길 398-23, 청양",충청남도,청양군,가든,4.5
덕산 스파캐슬,"덕산면 온천단지3로 45-7, 예산",충청남도,예산군,호텔,3
한국 고건축박물관,"덕산면 흥덕서로 543, 예산, 충청남도",충청남도,예산군,전문 박물관 • 역사박물관,3.5
수덕사,"Sacheon-ri, Deoksan-myeon, 예산",충청남도,예산군,종교적인 장소,4.5
천리포수목원,"소원면 천리포1길 187, 태안",충청남도,태안시,가든,4.5
꽃지해수욕장,"Kkotjihaean-ro, 태안",충청남도,태안시,해변,4
안면도 자연휴양림,"안면읍 안면대로 3195-6, 태안",충청남도,태안시,산림,4.5
안면암 부교,"안면읍 여수해길 198-160, 태안",충청남도,태안시,종교적인 장소 • 경관이 좋은 산책로,3.5
천주교 대전교구 솔뫼성지,"우강면 솔뫼로 132, 당진",충청남도,당진시,역사적인 장소,4.5
국립중앙과학관,"유성구 대덕대로 481, 대전",대전광역시,유성구,과학박물관 • 관측소 & 천체투영관,4.5
경기전,"완산구 한지길 102, 전주",전라북도,전주시,역사적인 장소,4
전주한옥마을,"완산구 은행로, 전주",전라북도,전주시,즐길거리 & 랜드마크,4
전주 한지박물관,"덕진구 팔복로 59, 전주, 전라북도",전라북도,전주시,전문 박물관,4.5
천주교 치명자산 성지,"San 11-1, Daeseong-dong, Wansan-gu, 전주",전라북도,전주시,역사적인 장소 • 종교적인 장소,4.5
덕진공원,"덕진구 권삼득로 390, 전주, 전라북도",전라북도,전주시,공원,4
금강 철새조망대,"성산면 철새로 120, 군산, 전라북도",전라북도,군산시,전망대 & 타워,4.5
해망굴,"군산창2길 48, 군산, 전라북도",전라북도,군산시,역사적인 장소 • 즐길거리 & 랜드마크,5
월명공원,"해망로, 군산, 전라북도",전라북도,군산시,공원,5
선유도,"영등포구 선유로 343, 서울",서울시,영등포구,공원,4.5
익산 보석박물관,"왕궁면 호반로 8, 익산, 전라북도",전라북도,익산시,전문 박물관,3.5
미륵사지,"금마면 미륵사지로 362, 익산, 전라북도",전라북도,익산시,종교적인 장소,4
왕궁리 오층석탑,"왕궁면 궁성로 674, 익산, 전라북도",전라북도,익산시,역사적인 장소 • 즐길거리 & 랜드마크,5
내장사,"내장동 590, 정읍",전라북도,정읍시,종교적인 장소,4
동학혁명기념관,"완산구 은행로 34, 전주",전라북도,전주시,역사박물관,4.5
내장산 국립공원,"북흥면 봉덕리, 순창, 전라북도",전라북도,정읍시,국립공원,4.5
실상사,"산내면 입석리 50번지, 남원",전라북도,부안군,종교적인 장소,4.5
광한루원,"천거동, 남원, 전라북도",전라북도,남원시,유서 깊은 산책로,4.5
벽골제,"부량면 벽골제로 442, 김제",전라북도,김제시,전문 박물관,3.5
전북 도립미술관,"구이면 모악산길 111-6, 완주",전라북도,완주군,전문 박물관,4
금산사,"금산면 모악15길 1, 김제",전라북도,김제시,종교적인 장소,4.5
송광사,"송광면 송광사안길 100, 순천",전라남도,순천시,종교적인 장소,4.5
덕유산 국립공원,"함양군, 경상남도",경상남도,함양군,국립공원,4
임실치즈테마파크,"성수면 도인2길 50, 임실",전라북도,임실군,놀이공원 & 테마파크,4.5
강천산,"군 팔덕면 강천산길 270 일대, 순창",전라북도,순창군,공원,4.5
고추장마을,"순창읍 민속마을길 5-13, 순창, 전라북도",전라북도,순창군,인근 지역,4
고창 고인돌 박물관,"676, Dosan-ri, Gochang-eup, 고창",전라북도,고창시,역사박물관,4
선운사,"아산면 선운사로 250, 고창",전라북도,고창시,종교적인 장소,4.5
고창읍성,"고창읍 읍내리 126, 고창",전라북도,고창시,성,4.5
구시포해수욕장과 해수월드,"상하면 진암구시포로 545, 고창",전라북도,고창시,해변,X
구암리 지석묘 무리,전라북도 부안군 하서면 석상리 707-1,전라북도,부안군,고대 유적 • 즐길거리 & 랜드마크,4
월명암 낙조대,"San 96-1, Junggye-ri, Byeonsan-myeon, 부안",전라북도,부안군,종교적인 장소,4
개암사,"개암사 248 개암로, 부안, 전라북도",전라북도,부안군,종교적인 장소,4
내소사,"268, Seokpo-ri, 부안",전라북도,부안군,종교적인 장소,4
부안 영상테마파크,"변산면 격포리 375, 부안",전라북도,부안군,놀이공원 & 테마파크,3.5
곰소염전,"진서면 청자로 1075, 부안",전라북도,부안군,농장,4.5
유달산조각공원,"죽교동, 목포",전라남도,목포시,공원,4
목포 근대역사관(1관),"중앙동2가 6, 목포",전라남도,목포시,역사박물관,4
유달산,"목포, 전라남도",전라남도,목포시,산 • 공원,4.5
국립해양유물전시관,"용해동 8, 목포",전라남도,목포시,자연사 박물관,5
목포 자연사박물관,"용해동 9-28, 목포",전라남도,목포시,전문 박물관,4.5
만성리 검은모래해수욕장,"만성리길 15-1, 여수",전라남도,여수시,해변,3.5
돌산대교와 돌산공원,"돌산읍 우두리, 여수, 전라남도",전라남도,여수시,공원,4
향일암,"돌산읍 향일암로 60, 여수",전라남도,여수시,종교적인 장소,4.5
전라남도 해양수산과학관,"돌산로 2876, 여수",전라남도,여수시,과학박물관,4
진남관,"군자동 472, 여수",전라남도,여수시,역사적인 장소,4
거북선모형관,"중앙동 236, 통영",전라남도,여수시,즐길거리 & 랜드마크,3.5
오동도,"한려동 1, 여수",전라남도,여수시,섬,4
낙안읍성,"낙안면 충민길 30, 순천",전라남도,순천시,유서 깊은 산책로,4.5
선암사,"승주읍 선암사길 450, 순천",전라남도,순천시,종교적인 장소,4.5
송광사,"송광면 송광사안길 100, 순천, 전라남도",전라남도,순천시,종교적인 장소,4.5
낙안 민속자연휴양림,"낙안면 민속마을길 1600, 순천",전라남도,순천시,자연 & 야생동물 서식지 • 산림,X
금둔사,"낙안면 조정래길 1000, 순천",전라남도,순천시,종교적인 장소,4
한국천연염색문화관,"다시면 백호로 379, 나주",전라남도,나주시,아트갤러리 • 아트뮤지엄,3.5
나주 영상테마파크,"공산면 덕음로 450, 나주",전라남도,나주시,즐길거리 & 랜드마크,X
나주 배마을과 배박물관,전남 나주시 금천면 영산로 5838 나주배박물관,전라남도,나주시,전문 박물관,3
반남 고분군,"반남면 고분로 756, 나주",전라남도,나주시,역사적인 장소 • 즐길거리 & 랜드마크,X
백운산 자연휴양림,전남 광양시 옥룡면 백계로 405,전라남도,강양시,산림,4.5
광양 장도박물관,"광양읍 매천로 771, 광양, 전라남도",전라남도,광양시,전문 박물관 • 역사박물관,3
메타세콰이어 가로수길,"전남 담양군 담양읍 학동리 633, 담양",전라남도,담양군,모르겠어요.. 데이트 명소라고 알고 있는데 그게 맞나요? 그냥 입구에서 표 안끊고 아.. 이렇구나 하고 왔는데 눈 오면 나름 예쁠것도 같고...... 바로 옆에서 커피 마시고 빠잇,4
담양온천,"금성면 금성산성길 202, 담양",전라남도,담양군,온천 리조트 • 스파,5
죽녹원,"담양읍 향교리 282, 담양",전라남도,담양군,공원 • 산림,4.5
대나무골 테마공원,"금성면 비내동길 148, 담양, 전라남도",전라남도,담양군,공원 • 산림,X
식영정,"남면 지곡리 산76-1, 담양",전라남도,담양군,역사적인 장소 • 건축물,4
소쇄원,"남면 지곡리 123번지, 담양",전라남도,담양군,가든,4
명옥헌 원림,"고서면 후산길 103, 담양, 전라남도, 대한민국",전라남도,담양군,역사적인 장소 • 가든,4.5
한국 대나무박물관,"담양읍 죽향문화로 35, 담양, 전라남도",전라남도,담양군,전문 박물관,4
면앙정,전남 담양군 봉산면 면앙정로 382-11 ,전라남도,담양군,역사적인 장소 • 건축물,5
섬진강 기차마을,"402, Jewol-ri, Bongsan-myeon, 담양",전라남도,담양군,경전철 서비스,4
천은사,전남 구례군 광의면 노고단로 209,전라남도,구례군,종교적인 장소,4
화엄사,전남 구례군 마산면 화엄사로 539,전라남도,구례군,종교적인 장소,4.5
율포해수욕장과 해수녹차탕,"보성, 전라남도",전라남도,보성군,해변,4
소설 『태백산맥』 문학기행,"벌교읍 회정리 357-2, 보성, 전라남도",전라남도,보성군,전문 박물관,4
증도 태평염전과 소금박물관,"마산면 황전리 12, 구례",전라남도,구례군,전문 박물관,3.5
대원사와 티베트박물관,"문덕면 죽산길 520-1, 보성",전라남도,보성군,아트뮤지엄 • 역사박물관,4.5
운주사,전북 정읍시 산외면 종운로 536,전라남도,정읍시,종교적인 장소,4.5
화순 고인돌 군락,"고창, 전라북도",전라남도,고창시,고대 유적,3.5
천관산,"관산읍 옥당리 25-1, 장흥, 전라남도",전라남도,장흥시,해변 & 풀 클럽,5
보림사,"유치면 보림사로 224, 장흥",전라남도,장흥시,즐길거리 & 랜드마크 • 종교적인 장소,4
백련사,"도암면 백련사길 145, 강진, 전라남도",전라남도,강진군,종교적인 장소,4.5
다산초당,"68-35 다산당로, 강진, 전라남도",전라남도,강진군,역사적인 장소 • 건축물,4.5
영랑 생가,"강진읍 영랑생가길 15, 강진",전라남도,강진군,역사적인 장소 • 즐길거리 & 랜드마크 • 교육적인 장소,4.5
금릉 경포대,전남 강진군 성전면 월남리 산116-2,전라남도,강진군,역사적인 장소,4.5
무위사,전남 강진군 성전면 무위사로 308,전라남도,강진군,종교적인 장소,4
강진 청자박물관,"대구면 청자촌길 21-11, 강진, 전라남도",전라남도,강진군,전문 박물관,4
마량항,"마량면 마량3길 46-2, 강진",전라남도,강진군,즐길거리 & 랜드마크 • 부두 & 보드워크 • 등대,4.5
땅끝마을,"송지면 땅끝해안로, 해남",전라남도,해남군,관측소 & 천체투영관,3.5
대흥사,"삼산면 대흥사길 400, 해남",전라남도,해남군,종교적인 장소,4.5
두륜산 케이블카,"삼산면 대흥사길 88-45, 해남",전라남도,해남군,전차,4
해남 공룡박물관,"황산면 우항리 191, 해남, 전라남도",전라남도,해남군,전문 박물관,4
미황사,"247, Seojeong-ri, Songji-myeon, 해남",전라남도,해남군,종교적인 장소,5
월출산 국립공원,"영암, 전라남도",전라남도,영암군,국립공원,5
왕인박사 유적지,"San 18, Donggurim-ri, Gunseo-myeon, 영암",전라남도,영암군,역사적인 장소,4
함평 나비축제,"1153-2 Suho-ri, Hampyeong-eup, 함평",전라남도,함평군,문화 행사,4
모래미해수욕장,"백수읍 해안로, 영광",전라남도,영광군,해변,X
불갑사,"8, Moak-ri, Bulgap-myeon, 영광",전라남도,영광군,종교적인 장소,4.5
백양사,"26, Yaksu-ri, Bukha-myeon, 장성",전라남도,장성군,종교적인 장소,4.5
신지 명사십리해수욕장,"신지면 명사십리길 85-105, 완도, 전라남도",전라남도,완도군,해변,4.5
운림산방,"64, Sacheon-ri, 진도",전라남도,진도군,역사적인 장소,4
쌍계사,"208, Unsu-ri, Hwagae-myeon, 하동",경상남도,하동군,종교적인 장소,4.5
진도타워,"군내면 만금길 112-41, 진도",전라남도,진도군,즐길거리 & 랜드마크 • 전망대 & 타워,4.5
진도 신비의 바닷길,"Cheolmagil 25, Jindo eup, 진도",전라남도,진도군,문화 행사,4.5
장전미술관,"임회면 하미길 39, 진도",전라남도,진도군,아트뮤지엄,4
홍도,"신안군, 신안, 전라남도",전라남도,진도군,섬,4
흑산도,"Dadohae National Marine Park, 신안",전라남도,신안군,섬,5
국립 5ㆍ18 민주묘지,"북구 민주로 200, 광주",광주광역시,북구,역사적인 장소,4
국립광주박물관,"북구 하서로 110, 광주",광주광역시,북구,전문 박물관,4.5
경상북도 수목원,"북구 죽장면 수목원로 647, 포항",경상북도,포항시,공원 • 가든,4
보경사,"송라면 중산리 622, 포항",경상북도,포항시,종교적인 장소,4
내연산 군립공원,"북구 송라면 보경로 523, 포항, 경상북도",경상북도,포항시,국립공원,4.5
괘릉,"17, SanGwaereung-ri, Oedong-eup, 경주, 경상북도",경상북도,경주시,역사적인 장소,4
감은사지,"55-1, Yongdang-ri, Yangbuk-myeon, 경주",경상북도,경주시,역사적인 장소,4
국립경주박물관,"일정로 186, 경주, 경상북도",경상북도,경주시,전문 박물관,4.5
탑골공원,"종로구 종로2가, 서울",서울시,종로구,공원,3.5
포석정,"816 Namsansunhwan-ro, Bae-dong, 경주",경상북도,경주시,역사적인 장소,3.5
석빙고,"인왕동 449-1, 경주",경상북도,경주시,역사적인 장소,3.5
대릉원,"계림로 9, 경주",경상북도,경주시,즐길거리 & 랜드마크 • 기념비 및 동상,4
문무대왕릉,"양북면 봉길리 26, 경주",경상북도,경주시,역사적인 장소,3.5
분황사,"구황동 321, 경주",경상북도,경주시,역사적인 장소 • 종교적인 장소,4
황룡사지,"구황동 320-1, 경주",경상북도,경주시,역사적인 장소,4
서출지,"남산1길 17, 경주",경상북도,경주시,역사적인 장소 • 즐길거리 & 랜드마크,3.5
석굴암,"진현동 999, 경주",경상북도,경주시,역사적인 장소 • 종교적인 장소 • 기념비 및 동상,4
불국사,"불국로 385, 경주",경상북도,경주시,역사적인 장소 • 종교적인 장소,4.5
신라역사과학관,"하동공예촌길 33, 경주, 경상북도",경상북도,경주시,역사박물관,4.5
양동마을,"강동면 양동리, 경주",경상북도,경주시,역사적인 장소,4
독락당,"안강읍 옥산서원길 300-3, 경주",경상북도,경주시,건축물,4
옥산서원,"안강읍 옥산서원길 216-27, 경주",경상북도,경주시,역사적인 장소,4.5
첨성대,"140-25 Cheomseong-ro, 경주",경상북도,경주시,역사적인 장소,4
직지사,"대항면 운수리 216, 김천",경상북도,안동시,종교적인 장소,4.5
도산서원,"154, Dosanseowon-gil, 안동",경상북도,안동시,역사적인 장소,4.5
하회마을,"풍천면 하회리, 안동",경상북도,안동시,역사적인 장소 • 유서 깊은 산책로,4.5
병산서원,"풍천면 병산길 386, 안동",경상북도,안동시,역사적인 장소,4.5
봉정사,"222, Bongjeongsa-gil, 안동",경상북도,안동시,종교적인 장소,4.5
부석사,"부석면 부석사로 345, 영주",경상북도,영주시,종교적인 장소,5
소수서원,"순흥면 소백로 2740, 영주",경상북도,영주시,역사적인 장소,4.5
선비촌,"357, Cheonggu-ri, Sunheung-myeon, 영주",경상북도,영주시,인근 지역,4
소백산 국립공원,"단양군 단양읍, 영주, 경상북도",경상북도,영주시,국립공원,5
은해사,"청통면, 영천, 경상북도",경상북도,영천시,종교적인 장소,4.5
문장대,"Jangam-ri, Hwabuk-myeon, 상주, 경상북도",경상북도,상주시,하이킹 트레일,4.5
경천대,"사벌면 경천로 652, 상주",경상북도,상주시,즐길거리 & 랜드마크,4
상주 자전거박물관,"용마로 415, 상주",경상북도,상주시,전문 박물관,4
동학사,"반포면 동학사1로 462, 공주",충청남도,공주시,역사적인 장소 • 종교적인 장소 • 경관이 좋은 산책로,4
석탄박물관,"성주면 성주산로 508, 보령, 충청남도",충청남도,보령시,전문 박물관,4
문경 철로 자전거,"마성면, 문경, 경상북도",경상북도,문경시,철경 철도선로,4.5
고모산성,"마성면 문경대로 1356, 문경",경상북도,문경시,역사적인 장소 • 성 • 군사 기지 및 시설,4
문경새재도립공원,"문경읍 새재로 932, 문경",경상북도,문경시,역사적인 장소 • 유서 깊은 산책로,4.5
문경 활공랜드,"문경읍 활공장길 80, 문경",경상북도,문경시,"랜드마크, 체험공간",5
익산 왕궁리 오층석탑,"왕궁면 궁성로 674, 익산",전라북도,익산시,역사적인 장소 • 즐길거리 & 랜드마크,5
고운사,"415, 고운사길, 단천면, 의성, 경상북도",경상북도,의성군,종교적인 장소,4.5
제오리 공룡 발자국 화석,경상북도 의성군 금성면,경상북도,의성군,즐길거리 & 랜드마크 • 공원 • 경관이 좋은 산책로,4
금성산 고분군,"금성면 대리리 378-1, 의성",경상북도,의성군,역사적인 장소 • 고대 유적,4
주왕산 국립공원,"주왕산면 공원길 169-7, 청송, 경상북도",경상북도,청송군,국립공원,4.5
주산지,"부동면 주산지길 163, 청송, 경상북도",경상북도,청송군,물길,4
송소 고택,"파천면 송소고택길 15-2, 청송, 경상북도",경상북도,청송군,호텔,5
청송 얼음골,"부동면 팔각산로, 청송",경상북도,청송군,계곡,5
주실마을,"일월면 주곡리, 영양",경상북도,영양군,역사적인 장소 • 인근 지역 • 즐길거리 & 랜드마크,5
괴시리 전통마을,"16-1, Hojimaeul 1-gil, Yeonghae-myeon, 영덕, 경상북도",경상북도,영덕군,역사적인 장소 • 인근 지역,4
영덕 해맞이 공원,"영덕읍 창포리 산5-5번지, 영덕",경상북도,영덕군,공원,4.5
삼사 해상공원,"강구면 해상공원길 120-7, 영덕",경상북도,영덕군,즐길거리 & 랜드마크 • 공원,4
대가야박물관,"대가야읍 가야금길 98, 고령",경상북도,고령군,전문 박물관 • 아트뮤지엄 • 역사박물관,4.5
운문사,"264 Unmunsa-gil, Unmun-myeon, 청도, 경상북도",경상북도,청도군,종교적인 장소,4.5
개실마을,"쌍림면 개실1길 29, 고령",경상북도,고령군,역사적인 장소 • 즐길거리 & 랜드마크,5
천주교 계산 주교좌 성당,"중구 서성로 10, 대구",대구광역시,중구,종교적인 장소,4
낙동강 옛 철교,"생림면 마사로473번길 41, 김해",경상북도,김해시,철경 철도선로,4.5
삼강주막,경북 예천군 풍양면 삼강리길 91,경상북도,예천군,역사건축물,5
용문사,"용문면 신점리 625, 양평, 경기도",경기도,양평군,종교적인 장소,4.5
청량산과 청량사,"봉화, 경상북도",경상북도,봉화군,종교적인 장소,4.5
봉화의 약수,"247, Bukgok-ri, Myeongho-myeon, 봉화",경상북도,봉화군,"랜드마크, 체험공간",4.5
덕구온천 스파월드,경북 울진군 북면 덕구온천로 924,경상북도,울진군,온열 스파,4.5
망양정과 망양해수욕장,경북 울진군 근남면 산포리,경상북도,울진군,역사적인 장소 • 건축물,4.5
불영사와 불영계곡,"716-1, Sanpo-ri, Geunnam-myeon, 울진",경상북도,울진군,종교적인 장소,4.5
성류굴,"근남면 성류굴로 225, 울진",경상북도,울진군,동굴,4.5
독도박물관,"울릉읍 약수터길 90-17, 울릉",경상북도,울릉군,전문 박물관 • 역사박물관,4
울릉도,경북 울릉군 서면 도동1길 5-3,경상북도,울릉군,섬,4.5
문신미술관,"추산동, 창원, 경상남도",경상남도,창원시,전문 박물관,4
진주성,"본성동, 진주, 경상남도",경상남도,진주시,역사적인 장소 • 성,4.5
국립진주박물관,"남강로 626-35, 진주",경상남도,진주시,역사박물관,4
경상남도수목원,"이반성면 수목원로 386, 진주",경상남도,창원시,공원 • 산림,4.5
돝섬해상유원지,"마산합포구 해안대로 150, 창원, 경상남도",경상남도,창원시,섬,4.5
여좌천,"여좌동, 창원",경상남도,창원시,물길 • 유서 깊은 산책로,4.5
장복산,"진해구 태백서로 40-5, 창원",경상남도,창원시,산 • 하이킹 트레일 • 산림,4
창원 해양공원,"진해구 명동로 62, 창원",경상남도,창원시,공원,4
진해 군항제,"Jinhae Jungwon Rotary Intersection and Jinhae area, 창원",경상남도,창원시,문화 행사,4.5
안민도로,"진해구 경화동, 창원",경상남도,창원시,경관이 좋은 산책로,4.5
해저터널,"통영, 경상남도",경상남도,통영시,즐길거리 & 랜드마크,3.5
통영 수산과학관,"산양읍 척포길 628-111, 통영",경상남도,통영시,과학박물관,4
통영 남망산국제조각공원,"남망공원길 29, 통영, 경상남도",경상남도,통영시,공원,3.5
세병관,"세병로 27, 통영",경상남도,통영시,즐길거리 & 랜드마크,4.5
통영 옻칠미술관,"용남면 용남해안로 36, 통영, 경상남도, 대한민국",경상남도,통영시,아트뮤지엄,5
박경리기념관,"산양읍 산양중앙로 173, 통영",경상남도,통영시,역사박물관,5
다솔사,"사천, 경상남도",경상남도,사천시,종교적인 장소,4.5
수로왕비릉,"가락로 190번길 1, 김해",경상남도,김해시,역사적인 장소 • 묘지,4
구지봉,"구산동 산 81-2, 김해",경상남도,김해시,역사적인 장소 • 기념비 및 동상,3.5
수로왕릉,"가락로93번길 26, 김해",경상남도,김해시,역사적인 장소,4
국립김해박물관,"가야의길 190, 김해",경상남도,김해시,역사박물관,4.5
대성동 고분박물관,"가야의길, 126, 김해, 경상남도, 대한민국",경상남도,김해시,역사박물관,4
봉황동 유적,"봉황동 253번지, 김해",경상남도,김해시,역사적인 장소,4
클레이아크 김해미술관,"진례면 진례로 275-51, 김해",경상남도,김해시,아트뮤지엄,4
표충사,"23, Gucheon-ri, Danjang-myeon, 밀양",경상남도,밀양시,종교적인 장소,4.5
영남루,"중앙로 324, 밀양",경상남도,밀양시,역사적인 장소,4.5
밀양 얼음골,"산내면 산내로 1647, 밀양",경상남도,밀양시,즐길거리 & 랜드마크 • 미스테리한 장소 • 경관이 좋은 산책로,4
학동 몽돌해수욕장,"거제시 동부면 학동6길 18-1, 거제, 경상남도",경상남도,거제시,해변,4
거제 포로수용소 유적공원,"계룡로61, 거제, 경상남도",경상남도,거제시,군사 박물관 • 즐길거리 & 랜드마크,4
외도 해상농원,"일운면 와현리 산 109, 거제",경상남도,거제시,기타 야외 활동,4.5
바람의 언덕,"남부면, 거제",경상남도,거제시,즐길거리 & 랜드마크 • 경관이 좋은 산책로,4
신선대,"남부면 갈곶리, 거제",경상남도,거제시,유서 깊은 산책로,4.5
옥포대첩기념공원,"옥포동 1, 거제",경상남도,거제시,공원,4
함안박물관,"가야읍 도항리 748, 함안",경상남도,함안군,전문 박물관,4.5
고분군,"가야읍 도항리 748, 함안",경상남도,함안군,전문 박물관,4.5
통도사,"하북면 통도사로 108, 양산",경상남도,양산시,종교적인 장소,4.5
