,리뷰
75,"독립기념관-->11월 중순경 단풍나무 숲길이 정말 예뻐요.  천안에서 단풍놀이 하면 다른 곳보다도 여기가 제일 먼저 검색됩니다.  거리가 꽤 있어서 편한신을 신고 걸으시길 추천드려요.  11월 중순이면 날도 쌀쌀할때라 따뜻하게 입고, 나들이 하시면 너무 좋을 것 같습니다. 입장료 없어요."
76,"독립기념관-->가족끼리, 커플끼리 나들이하기에 좋은 곳"
77,"독립기념관-->계속 똑같은 박물관이 아닌 시설 및 이벤트를 지속적으로 리뉴얼, 업데이트 하는 곳이라 항상 새롭습니다.전반적으로 깔끔하고, 단풍나무길같이 가볍게 산책(반등산)할 수 있는 곳도 있고 괜찮습니다.입장은 무료이나 주차비는 천원 받습니다.그래도 차없이는 불편한곳이에요~~"
78,독립기념관-->멋진 곳
79,독립기념관-->비오는 광복절 독립기념관을 찾았다 비에도 불구하고 주차가 힘들다 그래도 짧은 시간에 보기 위해 한 바퀴 돌았다 7년전 비해 새롭게 추가 된 것도 있었다 대힌민국의 역사 ~ 여러 어려움 이겨나간 역사가 자랑스럽다
80,독립기념관-->독립기념관 (The Independence Hall of Korea)
81,"독립기념관-->1. 2019년 12월 31일까지 일부 전시관이 증설공사로 인해 개방되어있지 않습니다.2. 체험 보다는 관람위주의 구성입니다.3. 방문당일 입장료는 없었으며, 군인 장병들을 위한 혜택이 여럿 있기 때문에 참고하여 방문하시면 좋을 것 같습니다."
82,독립기념관-->아이들도 어른들도 들르면 좋을 곳
83,"독립기념관-->태극기가 있는 광장이 주는 웅장함과, 잘가꿔진 조경, 조선총독부잔해 전시물 등 실내전시 외에도 볼거리가 많습니다.  근처에는 캠핑장도 있는 걸로 알고 있습니다. 천안시와 아산시에서 운영하는 시티투어를 이용해서 방문하면 좀 더 편하게 이용할 수 있으니 참고하세요."
84,독립기념관-->한국 수난의 역사를 배울 수 있는 곳.
85,"독립기념관-->해외를 가면 여행지와 박물관은 방문하면서, 정작 한국의 박물관과 여행지는 어릴때 국사를 배움으로 소홀했던것을  느끼고 방문하였습니다.  글로 구전으로 전해 들은 한국의 주변 국가들의 예전 침략전쟁에 대항하여 싸운 선조들의 역사를 다시금 깨우치게 되었습니다.  침략한 국가들의 사정은 알 수 없는 침범 당한 국가의 관점이어서 편향된 역사로 기록 되었겠지만, 애국심이 도취됨을느낄 수 있었습니다.  전시물들을 다 볼려면 하루 정도의 시간이 소요되지만, 한국인이라면 한번쯤은 방문하기를 권합니다.  물론 외국인도 방문해서 자국의 역사와 비교해도 괜찮을 것 같습니다."
86,독립기념관-->넓고 웅장한 장소
87,독립기념관-->사실 전시 내용은 그렇게까지 알차진 않지만 천안에 왔다면 가봐야할 장소. 참고로 추천하는 곳은 독립기념관 왼쪽으로 가면 나오는 조선총독부 잔해입니다. 과거 조선총독부 건물을 해체한 후 남은 부분을 모아놓은 공원인데 독특한 분위기가 잘 남아 있는 장소입니다.
88,독립기념관-->역사의 교훈을 느낄 수 있습니다
89,독립기념관-->독립운동의 역사를 일목요연하게 정리해 놓은 곳이라 역사의 교훈을 느낄 수 있습니다. 가을엔 단풍놀이로도 훌륭한 장소입니다
90,공산성-->성곽따라 걸어봐요
91,"공산성-->금강변에 위치한 공산성은 전망과 야경이 너무 좋네요.산책삼아 올라 전망 보고 내려와 공주특산물인 밤을 넣은 빵과 커피한잔 해보아요~주말에는 수문병교대식 구경하고, 고마열차 타고박물관이나 무령왕릉으로 이동할 수 있어요."
92,공산성-->웅진 도읍 시절의 백제 도성
93,"공산성-->사비(지금의 부여)로 도읍을 전까지 백제의 도읍이었던 웅진(공주)를 보호하기 위해 문주왕때부터 축조한 성. 송산리 고분군, 석장리 박물관과 함께 볼 수 있는 콤보 티켓을 사면 더 저렴하게 볼 수 있다. 산성 내부의 유적들은 많이 사라졌지만 공주 시내를 내려다보며 산책하기 좋은 장소이다."
94,공산성-->백제의 역사 만나기
95,공산성-->금강의 멋진 조망을 할 수 있는 위치에 있어 사람들이 많이 찾는 곳이다. 특히 겨울에는 시야가 탁 트여 좋으며 성곽을 따라 편안하게 걸으면 1시간 반 정도의 산책을 제대로 즐길 수 있다.
96,공산성-->꼭 가봐야 할 곳
97,공산성-->공주 여행을 하는 사람이라면 꼭 가봐야할 곳이라 생각합니다.백제의 4명의 왕이 머물렀던 공간인데시간마다 문화해설사분들이 해설을 해주시니그냥 둘러보기보다는 해설을 들으면서 보면 더 재미있어요~
98,공산성-->공산성의 주말 풍경
99,공산성-->아직 단풍이 들지는 않은 주말 오후 방문한 곳 공주에 위치한 공산성입니다 주말을 맞아 많은 관광객들이 있었고 매 시간마다 정문 수비수 교대식을 진행하고 있어서 볼거리도 많아 산성을 산책하는 것 외에 즐길거리가 많아서 제대로된 산책과 가족단위 여행에 적합한 곳 입니다
100,공산성-->멋진 경치와 멋진 공연
101,공산성-->공산성에 오르면 금강 등 경치가 멋지다.또한 정시마다 수문장 교대식과 공연을 하는데 볼만하다.산성 성벽 위로 다니게 되어서 있어 조심해야 한다.
102,공산성-->핵좋음ㅠㅠㅠㅠ사진스팟
103,공산성-->성치곤 작은데 올라가면 주변 풍광이 엄청 좋아요! 금강도 한눈에 다 보이고 바람 불어서 시원하고.. 활쏘기 체험도 할 수 있어요
104,공산성-->탁 트인 전경
105,공산성-->성벽을 한바퀴 돌며 금강도 구경하고 공주 시내도 보고... 전망이 좋습니다.입구에 문화해설사의 집도 있으니 가이드 투어 꼭 신청하세요.
106,공산성-->어린이날 방문
107,공산성-->공주가 한눈에 들어오고 산성에 오르면 시원한감이 좋다. 그리고 적당한 오르막으로 함들지는 않다 다만 산성 끝은 절벽이어서 위험하다 유모차 동반도 가능하지만 권하지는 않는다
108,공산성-->성곽에 올라서면 공주 전경이 한눈에 들어와요.
109,공산성-->낮에 보면 푸른 금강과 반대편의 금강 둔치의 초록색이 보입니다. 밤에 보면 성곽을 따라 켜진 불빛들이 멋진 야경을 만듭니다.역사적으로 중요한 장소이므로 단체로 오시는 경우가 많습니다.하지만 공산성은 혼자 왔을때 비로소 사색할 공간으로서 그 가치가 발휘되는것 같습니다.
110,무령왕릉-->무녕왕릉과 송산리 고분
111,"무령왕릉-->무녕왕릉은 영구적으로 입장이 불가하여 모형으로 꾸며놓은 체험관에 들어가서 관람을 했습니다. 고분군 전체 한 바퀴를 도는 대는 약 1시간에서 1시간 30분 정도 소요됩니다. 내려오는 길은 나무들이 많이 시원했습니다. 원래 입장료가 있는 줄 알고 있었는데, 현재는 무료입장이더군요."
112,무령왕릉-->대표적인 백제왕릉
113,"무령왕릉-->백제 시대 왕과 왕족들의 고분군으로 총 17기 중 7기가 복원되어 있다. 그 중 가장 유명한 것은 역시 무령왕릉으로 무덤의 주인을 알고 있는 유일한 고분이기도 하다. 특히 이 무덤은 도굴되지 않은 유일한 무덤으로 108종 4,600여점의 유물이 나왔다고 한다. 비록 발굴 과정에서의 치명적인 실수들로 우리나라 발굴사에 흑역사로 남아있지만 백제 문화의 보고임은 확실하다. 현재 무덤 내부는 일반에 개방되지 않고, 이를 그대로 복원한 전시관만 들어가 볼 수 있다."
114,무령왕릉-->해질녘에 가면 멋진 석양을 볼 수 있어요
115,무령왕릉-->문화재 보호를 위해 릉에 들어가는건 금지되어 있지만 입구에 모형을 만들어두었으니 릉으로 올라가기 전에 꼭 모형을 들러서 이동하세요(안내소에서도 안내해줍니다) 해질 무렵 올라갔는데 멋진 석양을 볼 수 있어 더욱 좋았습니다.
116,무령왕릉-->흑흑 리뉴얼 공사중이에요 ㅠ
117,무령왕릉-->무령왕릉 내부를 볼수 있을거라고 기대하고 갔으나...영구 비공개 결정 됐다네요 왜 몰랐지.. 근데 모형전시관도 리뉴얼 공사중이라 아무것도 볼 게 없습니다..ㅠ 그래서 입장료도 무료에요
118,무령왕릉-->산책하기 좋네요
119,무령왕릉-->원래 유료입장입니다만 지금 능 내부 전시실 보수 중이라 무료 입장입니다. 하지만 능 외부 보고 산책하기에는 좋고 해설도 정시마다 해주니 좋습니다.
120,무령왕릉-->공주여행
121,무령왕릉-->역사책에서만 보던 그곳을 방문했습니다. 왕릉이 꽤 커서 한 바퀴 돌면서 도시 전경 감상이 가능합니다. 역사 박물과도 있으니 연계해서 보면 좋습니다.
122,무령왕릉-->가족이랑 같이 오면 좋은곳
123,무령왕릉-->무령왕릉은 보존을 위해서 못들어 갑니다. 그대신 그대로 재현해놓은 곳이 있어서 거기서 구경하시면 됩니다.
124,무령왕릉-->살아있는 역사공부
125,무령왕릉-->아직은 어린 아이지만 눈으로 직접 보고 듣고 체험하는 경험들이 시간이 지날수록 살이 되리라 믿고 열심히 보여주는 중입니다 ^^
126,무령왕릉-->부여에 대해
127,무령왕릉-->부여라는 나라가 간직하고 있던 고유의 멋과 역사를 배우고 공부하기 좋은 장소입니다 직접 방문하세요
128,무령왕릉-->무령왕릉 관람
129,무령왕릉-->예전에는 고분 안으로 직접 들어 갔으나훼손 방지를 위해 모형으로 고분을 재현해 놓았음유네스코문화유산 지정후 더 깨끗해진것 같음
130,충청수영성-->수영의 위치를 보고 역사 알기
131,충청수영성-->보령시 오천면에 있는 옛 충청수영성의 위치를 보면 얼마나 요새로 기능하는가를 알 수 있다. 물론 요새에 위치해 있어 전망도 훌륭하다. 밑에 보이는 오천항에 가서 간재미회를 먹는 호사도 누릴 수 있는 곳. 그리고 멀지 않은 곳에 천주교 성지와 토정 이지함 선생의 묘를 보는 것도 잊지 말아야 할 포인트.
132,천주교 대전교구 공세리성당-->예뻐요
133,천주교 대전교구 공세리성당-->들어가는길이좁아서운전하긴좀힘들었어요 해질녘쯤갓는데별거없는데도분위기가너무좋아서기억에남아요 기분전환추천
134,천주교 대전교구 공세리성당-->아름다운 성당
135,"천주교 대전교구 공세리성당-->인주면에 위치한 어여쁜 성당입니다. 규모가 크지는 않지만 정성스레 지어진 느낌이 가득합니다.  박물관도 함께 운영하고 있고 (입장료 무료, 사진촬영불가) 마을도 아기자기하게 꾸며놓았습니다. 미사를 드리는 공간이기 때문에 조용히 사진찍고, 관람하는 매너가 필요합니다. 근처에 가볼만한 곳으로는  피나클랜드, 영인산자연휴양림, 인주 장어촌이 있습니다."
136,천주교 대전교구 공세리성당-->의외로 괜찮은 곳.
137,천주교 대전교구 공세리성당-->아산에 이런 곳이 있나 싶을 정도로 괜찮습니다!아름다운 성당이 보여주는 이국적인 분위기도 좋고 주변 환경도 괜찮습니다.어떻게 이런 시골한복판에 이런게 있을까 싶긴하네요 ㅎㅎ..앞에 카페들이 있긴 하던데주변에 여러가지로 개발되면 좋을듯합니디
