,리뷰
351,산사원-->술을 잘 못마시는 입장에서는 볼것이 별로 없다! 라고 느껴지지만 술 좋아하는 분들은 술 시음이가능하여 여러가지 과일주나 막걸리 시음으로(안주도 있음) 입장료가 아깝지 않은 곳 입니다!술독에서의 사진은 예쁘게 나오네요~^^
352,산사원-->시음하며 즐길수있는 곳
353,산사원-->박물관 구경도하고다양한 술 시음도 할수있어요무료로 주는 잔도 귀엽네요ㅋ근처에 산책할곳도 있어서 좋았어요
354,산사원-->배상면주가에서 만든 술 박물관
355,산사원-->다양한 종류의 전통주를 시음해 볼수 있고 저렴한 가격에 구입도 가능한 술박물관이에요. 정원에 엄청 큰 술독이 인상적이고 날씨가 따뜻하다면 잔디밭이 깔려있는 정원을 구경하는 재미도 쏠쏠합니다. 입장료 2천원을 내면 건물 내부에 들어가서 술에 관련된 역사 등도 배울수 있고 아이들 교육적인 면에서도 좋은거 같더라구요. 포천을 여행한다면 한번 들러볼만 합니다. 별기대 없이 갔다가 재밌게 놀고왔네요
356,산사원-->한국 전통술을 좋아하는 사람이라면 꼭 가볼만한 곳
357,"산사원-->배상면주가에서 운영하는 술 박물관 및 체험관. 양조장을 구경하는 것도 색다른 체험이지만, 박물관 1층에서 각종 막걸리와 전통술을 시음할 수 있는 곳이 산사원의 하이라이트인듯 합니다. 포천에 방문할 일이 있으면 조용하게 한번쯤 들러볼만한 곳입니다."
358,탄금대-->사랑의 불시착 촬영지
359,탄금대-->유모차 끌고 산책하기 좋아요~ 공원에 돗자리나 그늘막 설치해서 여유롭게 피크닉을 즐기는 사람들도 많고 산책을 즐기는 사람들도 많아요주변에 식당 그리고 카페도 많아요
360,탄금대-->조용하고 한적하고
361,탄금대-->개끗하고 아름다운 곳입니다. 주차도 편하고 공기도 상쾌하고 충주에 오신다면 두어시간 청량한 공기를 만끽하면 여유로운 시간을 보내기 좋은 곳입니다. 서울의 한강과는 완전 다른 분위기오 소박하지만 아이들과 같이 와도 좋고 누구와 와도 좋은 곳입니다.
362,탄금대-->안보면 후회했을 듯
363,탄금대-->등산도 어렵지 않고 길이 가파르지 않아서 나이드신 분도 걷기 좋습니다. 호주가 꽤 큰데 물이 정말 맑아서 강변의 아파트가 호수에 비칩니다.
364,탄금대-->산책하기 좋은곡
365,탄금대-->충주 터미널이나 기처역에서도 가까운곳에 있어서 대중교통으로 이용하기도 좋고 근처 맛집도 많고 가볍게 산책하기 정말 좋은곳입니다
366,탄금대-->물놀이
367,탄금대-->충주 워터파크 탄금호 물놀이장 좋다 수영복으로 갈아입고 아빠와 동생... 곳 충주 탄금호 물놀이장이다. 이 곳 물놀이장은 대전으로 가는 길에 충주를 지나가는 걸...
368,탄금대-->시원한 강가
369,탄금대-->탄금호와 중앙탑공원이 인근해있고주위에 조정경기장등이 있어가족들 나들이하기 좋아요다만 여름엔 나들이객이 많아 주차난이 간혹있음
370,탄금대-->가슴어린....
371,탄금대-->하늘도 맑고....저 멀리 보이는 산들도나무위에 앉은 한마리 새도...탄금을 만날때마다 가슴한켠이 아늑히 아려오는것은 어인일인지..
372,탄금대-->부모님과 산책하기 좋은곳
373,탄금대-->부모님과 여행 또는 자녀분과의 가족여행이라면 탄금대 공원 숲길을 걸어보시고 공원내 절도 함께 방문해 보세요탄금호에서는 유람선을 타고 관광하는것도 좋습니다.역사탐방과 함께 힐링을....
374,탄금대-->인공호수에요.
375,탄금대-->충주댐 지어지면서 생긴 인공호수로 알고 있는데 여기서 낚시를 많이 하더라고요.관광보다는 민물낚시용 방문을 추천합니다.
376,탄금대-->탄금대는 충주에서 매우유명한곳
377,탄금대-->자전거타기에도 좋고 드라이브 하기에도 좋다 가족들과 함께 주변을 둘러보았다. 가족들이 어렸을때 자주오곤했다고 한다. 탄금대는 충주의 데이트명소라고 생각하면된다
378,지리산 산수유마을-->봄이 시작 되는 곳
379,"지리산 산수유마을-->구례 산수유길 3코스 풍경길인 상위마을 산수유 군락지는,구례군 산동면에서 가장 높은 마을이자 산수유나무가 가장 많은,상위마을의 풍경길은 산수유 농업의 모습을 감상할 수 있는 탐방 코스이다."
380,항공우주박물관-->아이들하고 오기 좋아요
381,"항공우주박물관-->사천 항공축제때 사람 미어터지는데 한번 방문하기 좋아요,특히 남자아이들은 환장하고 볼거에요"
382,항공우주박물관-->한번쯤 가볼만 합니다
383,"항공우주박물관-->제주도의 첨단항공우주박물관을 기대하면 안되고, 한국전쟁 당시 유물과 전투기 위주로 전시되어있다는 것을 알고 가시면 될 것 같네요."
384,항공우주박물관-->많이 아쉽다
385,"항공우주박물관-->우선, 전시물들이 '항공'이라고 칭하기는 아쉽다. 비용문제 때문이겠지만 너무 평면적인 아이템들로 구성되 구색만 갖추었다는 생각이든다. 과천서울과학관과 극명한 차이를 보인다. 명색이 항공박물관이라면 더 다양하고 전문적인 아이템이 필요하다."
386,항공우주박물관-->비행기
387,항공우주박물관-->조카가 비행기 좋아해서 가봤습니다. 정말 신기해하고 좋아하더라구요. 시설도 깔끔해서 가족 나들이에 좋을 거 같아요
388,항공우주박물관-->교육상 매우 좋음!
389,"항공우주박물관-->아이들이 매우 좋아합니다.우주와 비행기를 좋아하는 아이가 있다면 반드시 들러야 할 코스매년 가을에는 항공우주엑스포를 개최하며 다양한 액티비티를 할 수 있어 아이들의 교육에 아주 좋은 관광지 입니다.박물관 내부에는 각종 시뮬레이션 체험등 아이들의 상상력과 창의력을 길러 줄 수 있는 많은 콘텐츠들이 있으니, 꼭 홈페이지를 찾고하여 최대한 많은 체험을 할 수 있도록 준비하는 것이 바람직함."
390,항공우주박물관-->항공우주박물관 괜찮아요
391,항공우주박물관-->사천 우주박물관은 꼭 한번 가볼만한 곳입니다. 애들 교육적으로 한번쯤 가보는것도 좋고 체험을 할수 있는 프로그램도 있습니다 가시기전에 휴관일은 확인하시고 가셔야 합니다.
392,항공우주박물관-->이런 것들에 관심 있는 사람들에겐 괜찮아요.
393,항공우주박물관-->항공우주전시 기간 갔는데 에어쇼랑 박물관이랑 같이 재밌었어요. 박물관 자체는 크기가 작고 항공기에 정말 관심 있는 사람들에게만 추천하고 싶어요. 그럼에도 16년간 미국에서 받은 교육보다 한국전쟁에 대해 훨씬 더 많은 것들을 이 조그마한 박물관에서 배울 수 있었으니 어쩌면 누구나 와볼 만한 곳일지도 모르겠네요. 어쨌거나 한국전쟁에 대한 정보가 뭐든 제가 학창시절 배운 것보다 더 많은 지식이긴 하지만요...
394,"항공우주박물관-->대부분 나이가 든 (1950 ~ 2000) 비행기가 바깥에 있으며, 2 개 건물"
395,"항공우주박물관-->정말로 흥미 롭습니다 - 전체 크기, 폐기 된 비행기, 우주 비행 디스플레이 및 KAI (지역) 제품."
396,항공우주박물관-->흥미로운 평면 및 전시회
397,항공우주박물관-->방문할 가치가 있는. 아이들과 가족들에게 흥미로운 전시회 및 항공 우주 매니아.최대 4시간 방문하는 철저한 계획 수립.
398,창녕 석빙고-->신라시대 냉장고를 느낄수 있는 곳
399,"창녕 석빙고-->냉장고가 없었던 신라시대에 선조들이 음식이나 재료가 상하지 않도록 어떻게 살았는지를 볼 수 있는 곳이다. 현재 역사/유물 발굴이 한창 진행중인 반월성 안에 위치해 있고, 내부로는 들어갈 수 없게 막아두었으나 철창 사이로 보이는 넓은 공간과 내부에서 뿜어져 나오는 시원한 냉기는 과거 선조들의 냉장고를 단편적으로나마 느낄수 있도록 해준다."
400,창녕 석빙고-->선조들의 지혜가 엿보이는 곳
401,창녕 석빙고-->선조들이 냉장고가 발명되기 전 데 주로 제사를 지낼 때 신선한 음식을 올리기 위해 사용했다고 합니다. 경주 석빙고는 빙실의 규모가 35평 정도로 우리나라에서 가장 큰 규모라네요.
402,창녕 석빙고-->반월성 안에 있는 명소
403,창녕 석빙고-->조선시대에 지어진 얼음 보관 창고입니다. 신라와는 관련이 없는 유적이긴 하지만 여름에 시원하고 이런 곳에 옛날엔 얼음을 보관했구나 하는 신기함이 돋보이는 장소. 더불어 지금은 발굴 중이라 조금 어수선한 반월성 내에서 그래도 주요한 볼거리 중 하나입니다.입장료: 무료
404,창녕 석빙고-->여름에 가면 시원함
405,창녕 석빙고-->무더운 여름날 그 문앞에 가만히 서있었는데 진짜 시원했음 옛선조들의 지혜를 엿볼수있는 곳이었음
406,창녕 석빙고-->교과서에 본 그 석빙고 입구! 를 볼 수 있어요.
407,창녕 석빙고-->하지만 그게 다입니다. 안을 볼 수는 없기때문에 산책하다가 지나가면서 '올ㅋ 석빙고인가봐ㅋ'하고 지나가면 될 것 같아요.
408,창녕 석빙고-->석빙고
409,창녕 석빙고-->반월성을 따라 산책을 하면 어느새 월성 발굴지와 함께 석빙고를 만나게 됩니다. 창살 너머로도 시원한 공기를 마주할 수 있습니다
410,창녕 석빙고-->그럭저럭
411,창녕 석빙고-->첨성대쪽에 간판이 있길래 쭉 따라가봤더니 가는길은 멀었지만 생각보다 볼만한 것은 없었습니다. 단지 냉장고가 없던 시절에 얼음을 보관했던 창고라는 것이죠. 아이들이 있으면 교육적인 목적에 가볼만은 합니다. 오히려 경주박물관에서 가면 가까울 거 같아요
412,창녕 석빙고-->가는 길이 조금 어렵네요
413,창녕 석빙고-->첨성대를 보고 살살 걸어가시면 좋습니다. 다소 저녁에는 조금 무섭네요. 석빙고 안을 볼수 있었음합니다.
414,창녕 석빙고-->안은 전혀 볼 수 없지만
415,"창녕 석빙고-->조상들의 지혜를 보며, 냉장고에 더 많은 감사를 하게되는?곳입니다. ^^얼음보관을 했을 정도라니, 온도유지가 꽤나 잘 되었나모양이지요? 입장료도 없고 안은 볼 수 없지만 교과서에만 듣던 곳을 실제로 보니 좋았어요"
416,창녕 석빙고-->천연 냉장고
417,창녕 석빙고-->천연 냉장고신라시대의 얼음창고에요~~~경주에 갔으니 보물 제66호로 지정된 석빙고는 꼭 한번보시고 와야할듯^^
418,천제연폭포-->수학여행 필수 관광명소
419,천제연폭포-->우기에 방문하여 폭포가 아주 시원하게 떨어지는 모습을 볼 수 있었음. 제주도 첫 방문자라면 꼭 들러야 하는 필수 관광지로 수학여행의 추억을 되살릴 수 있음.
420,천제연폭포-->제주도에서 가장 멋있는 폭포
421,"천제연폭포-->상,중,하 3단으로 이루어진 폭포입니다. 1폭포에서 떨어진 물은 연못을 만들고, 이 물이 2,3 폭포를 거쳐 바다로 흘러들어간다고해요. 2,3 폭포 중간에 '선임교'라고하는 사진이 아주 잘 나오는 다리가 있습니다. 선임교 위에서 멋진 사진을 남겨 보세요!"
422,천제연폭포-->천제연폭포
423,천제연폭포-->한번쯤은 가볼만한 곳입니다. 사람은 전반적으로 많은 편이데 제가 갔을때는 사진도 찍을 만했습니다. 날씨 좋은 날 가면 멋진 경치와 사진 남길 수 있을듯합니다.
424,천제연폭포-->천제연 폭포 또는 제주 3 단 폭포.
425,천제연폭포-->천제연 폭포는 서귀포 근처 제주도 남단에 위치하고 있습니다. 약 1입니다. 공항에서 버스로 5 시간. 3 단계 폭포로 불리며 3 개의 절벽 위로 떨어지면 결국 바다로 끝납니다. 전설에 따르면 연못에서 목욕하기 위해 밤에 방문하는 7 명의 님프가 있습니다. 또한 금속으로 아름답게 장식 된 7 개의 님프가 장식 된 폭포로 걸어가는 선묘 교도 있습니다.제주를 방문하는 동안 꼭해야 할 일.
426,천제연폭포-->화려한 폭포
427,"천제연폭포-->폭포를 볼 때 이 같은 한 폭포, 폭포 및 기타 여러 관광명소의 추적 결과를 초래할 수 있습니다. 정말 화려하고 아름다운 인상. 많은 계단이 있었고, 일부는 한 작은 폭포 들도 노력하는 마지막 지역. 노인 과 아이들을 위한 경고 기호에 해당 하기도 어려웠다. 가족과 아이들은 나쁘지 않지만 다른 분들을 볼 수 있는 방법입니다."
428,대둔산-->단풍 명소하면 대둔산
429,대둔산-->단풍 명소라서 진짜 어렸을 적에 많이 찾았던 곳이예요.아기자기한 느낌이 가득한 산입니다.가족끼리 방문하기에 너무 좋고 그렇게 가파르거나 힘들지 않아서 괜찮아요
430,대둔산-->돌산...
431,대둔산-->케이블카가 있지만 2시간 대기하여야 한다고하여 걸어올라가 봤는데..생각보다 힘든 등산 코스 였어요~~ 꼭대기 까진 못가고 정상부근 케이블카까지 오르고 케이블카 2시간 대기하여 내려왔어요~~주말이라 사람이 많이 붐볐어요...
432,그림이 있는 정원-->다신 안갑니다
433,그림이 있는 정원-->너무 더워서 입장료 7000이나 내고 들어가기를 망설이는데 왔으니 구경하고 가시라며 매표소 아주머니 표 파시더니 막상 들어가니 정리도 관리도 되어있지 않고.... 미술관 전시관 전부다 방치되어있고... 시원한 곳 하나 없이 입장 20분 만에 나오는데 매표소 아주머니 하시는말. 많이 덥죠^_^. 놀리시나? 표 팔면 장땡인건가? 환불받고싶다 더운날 열도 받기 싫어서 그냥 옴. 다신 안가
434,그림이 있는 정원-->상식적이지 않은 식물원
435,그림이 있는 정원-->4월 23일 일요일 아침 9시 넘어 입장한 고객이다.엔진 돌아가는 소리가 나길래 무슨 소린가 하면서 산책을 하던 도중.. 경악할 만한 냄새를 맡고 말았다.농약냄새!시골에서 살고 농약 냄새를 많이 맡아 본 사람으로 부정할 수 없는 농약 냄새.설마라는 생각에 같이 간 동행에게 물어보니 확실하단다.바람을 타고 날아드는 냄새. 돌아서 오면서도 계속해서 날아드는 냄새.무슨 생각으로 식물원을 경영하는 걸까.심히 의심스럽다
436,그림이 있는 정원-->정말 넓~~은 정원과 깔끔한 카페
437,"그림이 있는 정원-->패키지 여행으로 다녀온 그림있는 정원.이 정원이 만들어진 이야기는 참으로 슬펐다.정말 넓은 정원이고 5억짜리 소나무, 다양한 모양의 암석, 곧게 뻗은 소나무 등 아름다운 자연경관이 펼쳐졌다~ 깔끔한 카페도 있어서 티한잔 마시고 왔는데 좀 더 가꾸면 더 아름다운 정원이 될듯! 드넓은 잔디밭에서 야외결혼식도 한다고 한다♡"
438,마이산 도립공원-->언제가도 좋아요^^
439,마이산 도립공원-->마이산은 정기가 어려 있다고 합니다. 주차장에서 내려 상당히 걸어 들어가야 합니다. 들어가면서 이상한 기운을 느꼈습니다. 하나하나 정성들여 쌓은 돌답이 신기하기도 하지만 정기가 느껴지더군요!
440,마이산 도립공원-->우리나라에서 잘 보기 힘든 독특한 지형
441,마이산 도립공원-->멀리서 봐도 눈에 확 들어올 만큼 특이한 산입니다. 가까이서 가보면 마치 시멘트로 만든 것 같은 독특한 모습에 한 번 더 놀라게 돼요.
442,마이산 도립공원-->진안마이산
443,"마이산 도립공원-->마이산 길을 걸으면 장수한다는 이야기도 있는데요.우리나라의 마지막 벚꽃 명소라 하는 이 공간에 가족들과 함께할 수 있음이매우 뜻깊은 순간이 되었어요.흐드러지게 핀 벚꽃들에 취해 걷다 보니 거리가 짧지 않음에도 젼혀 힘든지를모르겠더라구요.대웅전까지 올라 간단히 소원도 빌었어요.올 한해도 가족들의 건강과 평온한 안녕, 무탈하게 소박한 일상들이 이어지길~올라오는 동안 마주한 아주 많은 돌탑들."
444,마이산 도립공원-->마이산은 역시 마이산
445,마이산 도립공원-->진안의 유명한 관광명소 마이산은 높지않은 산책길과 구경거리 먹거리가 충분한 여행하기에 조금도 부족함이 없는 곳인거 같다
446,마이산 도립공원-->자연의 신비를 알 수 있는 곳
447,"마이산 도립공원-->말의 귀를 닮았다고 마이산이라고 하는데, 그 풍경은 정말 멋있습니다특히 탑사가 유명하고, 비바람에도 무너지지않는 탑은 계속 봐도 신기했습니다자연의 정기를 느낄 수 있고, 마이산 초입에 식당들이 많은데 깔끔한 산나물 정식을 먹을 수 있었습니다"
448,마이산 도립공원-->마이산
449,마이산 도립공원-->말의 귀를 닮아서 마이산이라 한다네요.돌탑을 보면 저큰걸 어떻게 쌓았을까 생각되네요.정말 혼자 쌓았을까 거짓말은 아닐까 생각되네요.암튼 대단합니다
450,마이산 도립공원-->겨울등반을 다녀왔습니다
451,마이산 도립공원-->농한기라서 쉬다보니 정말 따분하여 우리집 막내 태평이를 데리고 마이산을. 다녀왔습니다모처럼의 콧바람에 신이나서 온들판을. 휘젓고 다니네요
452,마이산 도립공원-->민간신앙과 불교와 특이한 산의 만남
453,"마이산 도립공원-->일반 산이라면 굳이 찾아가지 않을텐데......일단 신기한 느낌입니다. 우리나라 산이나 절에서 이렇게 특이한 곳은 찾기 힘듭니다. 산도 특이하고 절도 지형도 참 특이한 곳..탑사까지 산책코스로 다닐 수 있을 정도이고, 아이들에게도 흥미있는 것들이라 인상 깊이 다녀왔습니다. 마이산 입구에 돼지 등갈비도 맛있게 먹었습니다."
454,마이산 도립공원-->마이산!!
455,마이산 도립공원-->정말 독특한 산이죠~~ 돌탑도 많이 세워져 있고 신기합니다~ 가볍게 산행하기 좋아요!!!ㅎㅎ
456,마이산 도립공원-->대한민국 전북의 산
457,마이산 도립공원-->마이산은 전라북도에 있는 작은 산이다. 산이 높지는 않지만 등산코스도 많고 아름다운 경관을 자랑하는 곳이다.
458,용궁사-->한적한 절
459,용궁사-->한적한 곳에서 절을 구경하고 싶다면 아주 좋은 곳 이에요.공기도 맑고 높은곳에 있지 않아서 아주 만족스럽게 트래킹하면서 구경하고 쉬었어요
460,용궁사-->관광목적으로 가시는 분은 안계실듯..
461,용궁사-->영종도에 위치한 사찰입니다. 부산에 있는 용궁사와 다들 헷갈려하십니다. 크지는 않지만 꽤 알려진 절입니다. 하지만 관광 목적으로 방문하시는 분들은 거의 안계십니다.
462,용궁사-->잠시 산책하기 좋네요.
463,용궁사-->영종도에 있는 작은 사찰입니다.규모는 소박하네요. 하지만 정말 조용합니다.잠시 정신수련하기 좋네요.소원바위라는 있어 이곳에서 소원을 비는 사람들을 종종 볼 수 있었습니다.
464,용궁사-->조용히 방문하기 좋아요
465,용궁사-->용궁사는 웅장한 스타일의 사찰은 아니지만 소박한 역사가 있어 고즈넉한 분위기로 방문하기 좋은 곳입니다. 소원바위라는 곳이 있어 그곳에서 소원빌기를 하러 일부러 오시는 분들도 많더라구요.
466,용궁사-->산책
467,용궁사-->휴식과 산책을 겸비할 수 있는곳으로 혹 외국 손님이 공항 오실 때 한국적인 분이기를 보여줄 수 있는 그리고 가볍게 산책할 수 있는 그런 공간으로 생각하시면 더 좋을 것 같아요
468,용궁사-->영종도에서 들러갈만한 곳.
469,용궁사-->점심으로 칼국수 드셨어요? 그럼 산책을 해보세요.가까운 곳에 산이 있고 절이 있습니다.절에서 시원한 물도 마셔보세요.
470,용궁사-->산책하기 좋아요
471,용궁사-->볼거리는 부족하지만 간단하게 산책하기 좋아요. 봄에 꽃이 피면 더 좋을거 같습니다. 대중교통으로 이용하기에는 힘들거 같아요
472,용궁사-->원효대사가 지은 절
473,용궁사-->일단 시원하고 걷기좋은날에 가기좋은곳임.. 차가 없다면 다녀오시기가 좀 어렵지 앟을까 하는곳.
474,용궁사-->가는 길이 아름다운 유서깊은 사찰
475,"용궁사-->인천에서 역사가 깊은 사찰이다. 들어가는 진입로가 아름답지만 사찰은 조촐하다. 그러나 그 뒤에 산길을 올라가는 재미도 있다. 특히 봄, 진달래가 피는 길의 트레킹은 해봄직하다."
476,용궁사-->영종도의 유서깊은 절
477,"용궁사-->영종도의 전설을 간직한 유서깊은 절이지만, 산책로를 제외하면 아쉽게도 볼거리는 별로 없네요. 영종도에 사는 사람이 아니라면 좀체로 가보기 쉽지는 않은 곳."
478,한벽당-->2019 6월 현재 공사 중
479,한벽당-->아름다운 정자인데 2019년 6월 기준 공사 중입니다. 적어도 3개월 정도는 지속하지 않을까 싶어요. 근처에 한벽굴이란 옛날 터널은 그대로이니 아쉽다면 거기라도 가는 걸 추천.
480,한벽당-->상상의 눈으로 보세요
481,"한벽당-->이런 곳은 올라가서 밖을 보는 맛인데, 도로 건설로 예전 정취는 없어졌다고 보셔야 할 거에요.이 곳에 가시면 앞에 보이는 도로는 마음으로 지우고 보세요."
482,한벽당-->밤에도 아름다워요
483,"한벽당-->밤에는 인적이 드물어서 혼자 가시는건 추천드리고 싶지 않습니다만, 하천과 어우러져서 굉장히 아름답습니다. 조명에 신경쓴 것 같아요. 꼭 한 번 들러보세요!"
484,한벽당-->문화재 탐방이나 자연을 아끼는 분들에게 추천
485,"한벽당-->전주천 옆에 덩그러니 있는 누각 입니다. 관광지로 보기엔 좀 그렇고, 문화재와 옛사람들의 풍류를 엿볼 수 있는 곳입니다. 그래서 썰렁하거나 아무것도 없다는 평이 나오죠. 당연히 주변에 아무것도 없습니다.단지 앉아서 전주천과 주변에 산을 바라보는 풍경뿐....조선시대 선비가 전주천을 바라보며 즐기기 위해 만든 누각으로 전주8경?에 속한다 합니다. 현재는 더운 여름이나 가을에 한번쯤 들러보는 곳입니다.너무 기대는 하지 마세요"
486,한벽당-->가을을 만끽할 수 있는 한벽당
487,한벽당-->한벽당으로 가는 길은 정말 장관잆니다. 오색 가을빛으로 물들은 이곳은 마음까지 편안해 지는 곳이거든요. 정자에서 내려다 보는 전경은 정말 너무 멋집니다. 데이트코스로도 많은 사람들이 오는 곳입니다.
488,한벽당-->호불호가 갈릴 곳
489,한벽당-->사람에 따라서 아무것도 없다고 느낄 수도 있고 한적하고 정말 좋다고 느낄 수도 있을 것 같아요. 제가 간날은 아무도 없어서 풍경을 한참 감상하고 왔어요. 지도보다 훨씬 더 향교에서 가까워요.
490,한벽당-->더울 때 가면 정말 좋아요
491,한벽당-->겨울에 가면 별 느낌 없을 거 같은데요여름에는 사람들이 보고만 있지 딱히 정자에 가볼 생각을 안해서인지사람 별로 없는데 산도 뒤에 있고 앞에 강이 있어서 시원하고 조용한 게 아주아주 좋아요.
492,한벽당-->방문기
493,"한벽당-->전주하면 우리 한옥이라든가 옛정취를  느낄 수 있는 곳이 많을 것으로 생각돼지만 막상 가보면, 그렇게 많지 않다. 한옥마을 또한 실망하는 사람이 적지 않다. 그에 비해 한벽당은 넓은 누각과 그곳에서 이루어지는 각종 시낭송회나 탐방객들로 지역민들에게 사랑받는  장소임을 인지 하게 하는 곳이라 추천한다."
494,한벽당-->전주천을 내려다 보는 전망 좋은 곳
495,한벽당-->한벽당은 한옥마을 옆에 위치하고 있는 곳으로 올라가면 전주천을조망할 수 있는 곳이다.한옥마을의 번잡함에 지쳤다면 잠시 이곳으로 와서 고즈넉히전주천이 흐르는 걸 감상하면서 쉬는 것도 좋은 곳이다.
496,한벽당-->무료로 볼 수 있는 작은 곳
497,한벽당-->위치를 잘 못찾는 사람들이 있는데 공영 주차장 말고 한옥마을에서 별도로 만들어놓은 주차장 쪽에서 걸어오면 쉽게 만날 수 있는 곳입니다.  저도 오다가 만났어요. ㅋㅋ그래도 운치있게 강이 흐르고 있고 다리같은 것도 있고 나무들때매 그늘져서 보기 좋은 곳입니다.
498,달아공원-->한려수도의 아름다움을 보려면 이곳으로
499,달아공원-->드라이브 코스로도 유명한 산양일주도로 중간에 위치한 곳으로 한려수도의 장관을 감상하기 좋은 곳이다. 직접 본적은 없지만 일몰이 아름다운 곳으로도 소문나 있다. 통영에서 드라이브를 하고 싶은 사람. 왜 한려수도가 아름답다고 하는지 궁금한 사람이라면 필히 이곳을 방문하기 바란다. 전망대에는 대형지도가 있어 각각의 섬의 이름도 쉽게 알 수 있다.
500,달아공원-->전망굿
501,"달아공원-->대낮에 방문하기보다는 저녁이 될무렵 방문하기를 추천,섬들의 공통적인 특징이 고불거리는 산길을 지나야해서 운전이 미숙하면 안가는것을 추천"
502,달아공원-->일몰보기에 최고
503,"달아공원-->남해 바다를 보면서 일몰을 감상할 수 있는 최고의 위치지만, 사람이 너무 많고 차도 너무 많고 일찍 일찍 가서 기다려야 합니다."
504,달아공원-->석양을 보고싶다면 추천
505,달아공원-->주차장이나 근처 갓길에서도 석양보기는 좋습니다. 해가 질 쯤 가지마시고 좀 일찍 가셔서 공원 꼭대기에서 경치구경하시다가 노을도 보시면 좋아요
506,달아공원-->편안히 산책하기 좋아요~
507,"달아공원-->가족들과 통영 산책와서 바다보며 경치구경하기 좋아요.유모차도 올라올 수 있게 되어있어요.주차장은 유료,경차 500원, 일반차 1100 원 입니다."
508,달아공원-->경치 보러 가는 곳
509,달아공원-->경치보러 가는 곳이에요270도 정도의 파노라마 전망이 펼쳐지네요주차는 유료에요. 1시간 1100원인가? 하더라고요. 신용카드로 결제해야 해요.그리고 전망대 말고는 다른 공원시설이 없는 것 같았어요.
510,달아공원-->일몰 명소
511,"달아공원-->일몰 보기에 좋은 곳입니다. 다만 주차장은 유료이고, 구름이 많은 날에는 일몰보기가 쉽지 않으니 잘 선택해서 가시기 바랍니다. 일몰 시간에 딱 도착하면 안되고 미리 도착해야 전망대까지 가실 수 있을 거 같아요ㅎ"
512,달아공원-->시원한 전경을 즐겼어요
513,달아공원-->날씨가 흐려서 아쉬웠지만 통영 바다의 멋진 절경을 즐길 수 있는 곳이에요.다음에는 날씨가 좋아서 꼭 일몰을 보러 다시 가고 싶어요.
514,달아공원-->최고의 일몰.
515,"달아공원-->달이공원 가는길이 많은 차로 인해서 주차공간이 부족합니다. 결국 돌아서 조금 내려오니까 넓은 공터를 발견 , 그곳에서 최고의 일몰을 구경 했네요."
516,달아공원-->일몰이  아주 멋진 곳입니다
517,달아공원-->여러곳에서일몰을 봤지만 이곳은 곳곳에 있는 섬들과어우러져 멋진 풍광을 자아냅니다연인과 함께오는 분들도 많았어요 그만큼 멋지다는~~
518,"벌교 홍교, 대한다원-->녹차밭이 쫙 펼쳐져"
519,"벌교 홍교, 대한다원-->싱그러운 녹차밭이 펼쳐진 곳에서의 사진찍으면 인생샷 건질수 있어요. 입구까지 걸어가는길에 메타세콰이어길이 쭉 있어 넘 좋구요. 보성가게되면 녹차밭과 율표해수욕장은 들리시길 추천드려요.."
520,"벌교 홍교, 대한다원-->왜 보성에서 1위인 지점인지는 가보시면 압니다."
521,"벌교 홍교, 대한다원-->정말 녹차밭이 방대합니다. 어마어마하게 넓어요 둘러보는데 2시간은 걸린것같네요 꼭대기로 가시면 저 너머로 바다까지 보입니다. 우리가 갔을때는 시계가 안좋았어요가서 탁 트인 전경을 즐기시기 바랍니다."
522,"벌교 홍교, 대한다원-->가족과 함께, 가족 친지와 함께 주말을 보내보세요. 적극 추천합니다 방문해보세요."
523,"벌교 홍교, 대한다원-->가족과 함께, 가족 친지와 함께 주말을 보내보세요. 적극 추천합니다 방문해보세요. 보성녹차밭 대한다원은 차밭이 아름답습니다."
524,"벌교 홍교, 대한다원-->보성 녹차밭"
525,"벌교 홍교, 대한다원-->친구랑 같이 간 여행이였습니다.드라마 영화 cf등에서 봤던 느낌하고는 조금 다르지만...보는 순간 숨을 깊게 들이 마시고,기분이 좋아졌습니다.다만 좀 더워서 정상까지는 못 올라갔지만...푸른 녹차밭이 기분을 좋게 했습니다.다음에 가족과도 함께 하고 싶습니다"
526,"벌교 홍교, 대한다원-->산책하기 좋은 곳"
527,"벌교 홍교, 대한다원-->오전 일찍 덥지 않은 시간에 방문하는게 좋습니다. 녹차밭과 함께 숲 산채길에서 천천히 시원한 바람을 맞으며 걸어 보세요. 힐링이 됩니다"
528,"벌교 홍교, 대한다원-->푸르럼이 주는 편한함을 주는 곳"
529,"벌교 홍교, 대한다원-->여수 순천을 걸쳐 첫 방문... 일단, 축제기간과 맞물려서 주변은 번잡해서나 행사장을 지나 방문한 대한다원.. 모처럼 산행길 느낌처럼 초록이 주는 시원함과 적당한 산책로 같은 차밭 투어.. 모처럼 힐링하는 기분이내요."
530,"벌교 홍교, 대한다원-->자연과 인공의 조화, 평화롭고 아름다움"
531,"벌교 홍교, 대한다원-->분명 사람이 만든 곳이지만, 어떤 자연과도 비교될 만한 훌륭한 풍경을 보여 줌.녹차밭 둘레 숲속과 대나무 숲은 반드시 지나야 할 곳."
532,"벌교 홍교, 대한다원-->정말 아름다운 녹차밭입니다!"
